source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,signal_family_count_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,y_phishing,split
vp_36661_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36662_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36663_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36664_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36665_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36669_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36670_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36671_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36673_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36674_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36675_case_001,0,0,0,1,0,0,0,1,0,1,0,0,1,train
vp_36676_case_001,0,0,0,0,1,1,0,1,1,2,0,1,1,train
vp_36676_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36677_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36678_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36679_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36680_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36681_case_001,0,1,0,0,0,0,0,4,1,5,0,0,1,train
vp_36682_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36683_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36684_case_001,1,1,0,1,0,0,0,2,0,3,1,0,1,train
vp_36684_case_002,1,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36685_case_001,0,0,0,0,0,0,0,3,0,2,0,0,1,train
vp_36686_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36687_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36687_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36688_case_001,1,1,1,1,0,0,0,5,1,6,1,0,1,train
vp_36688_case_002,1,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36689_case_001,1,1,0,0,0,0,0,2,0,2,0,0,1,train
vp_36690_case_001,0,0,0,0,1,1,0,2,1,3,0,1,1,train
vp_36691_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36692_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36694_case_001,0,0,0,1,0,0,0,2,0,3,0,0,1,train
vp_36695_case_001,0,0,0,1,0,0,0,2,1,3,0,0,1,train
vp_36695_case_002,0,0,0,0,0,0,0,3,1,4,0,0,1,test
vp_36696_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36697_case_001,0,0,0,0,0,0,0,2,0,2,0,0,1,validation
vp_36698_case_001,0,0,0,1,0,0,0,1,0,2,0,0,1,train
vp_36699_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,validation
vp_36700_case_001,0,0,0,1,0,0,0,1,0,2,0,0,1,train
vp_36701_case_001,0,0,0,1,0,0,0,1,1,3,0,0,1,train
vp_36702_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36704_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36705_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36707_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36708_case_001,0,0,0,1,0,0,0,3,1,4,0,0,1,train
vp_36709_case_001,1,0,0,0,0,0,0,2,0,1,0,0,1,train
vp_36709_case_002,0,0,0,1,0,0,0,2,0,2,0,0,1,train
vp_36709_case_003,1,0,0,0,0,0,0,1,0,1,0,0,1,validation
vp_36710_case_001,0,0,0,1,0,0,0,2,1,4,0,0,1,train
vp_36711_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36712_case_001,1,1,0,0,0,0,0,3,0,3,0,0,1,train
vp_36713_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36715_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36716_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36716_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36717_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36717_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36719_case_001,1,1,0,0,0,0,0,3,1,4,0,0,1,train
vp_36719_case_002,1,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36727_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
