연도,월,지역,분류축,분류값,지표,값,단위,시간단위,월_결측유형,출처파일
2020,,전국,연령대,70대이상,피해자수,843,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2020,,전남,전체,전체,발생건수,406,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,전북,전체,전체,발생건수,621,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,제주,전체,전체,발생건수,474,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,충남,전체,전체,발생건수,1267,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,충북,전체,전체,발생건수,1058,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2021,1,전국,전체,전체,발생건수,3187,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,2,전국,전체,전체,발생건수,2417,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,3,전국,전체,전체,발생건수,4017,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,4,전국,전체,전체,발생건수,2808,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,5,전국,전체,전체,발생건수,2406,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,6,전국,전체,전체,발생건수,2979,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,7,전국,전체,전체,발생건수,2588,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,8,전국,전체,전체,발생건수,2414,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,9,전국,전체,전체,발생건수,1812,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,10,전국,전체,전체,발생건수,1881,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,11,전국,전체,전체,발생건수,2137,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,12,전국,전체,전체,발생건수,2336,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,,강원,전체,전체,발생건수,982,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2021,,경기남부,전체,전체,발생건수,5903,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
