연도,월,지역,분류축,분류값,지표,값,단위,출처파일
2022,,전국,사기유형,기관사칭형,피해액,2077,억원,경찰청_보이스피싱 현황_20251231.csv
2022,,전국,사기유형,대출사기형,검거인원,20530,명,경찰청_보이스피싱 현황_20251231.csv
2022,,전국,사기유형,대출사기형,발생건수,12902,건,경찰청_보이스피싱 현황_20251231.csv
2022,,전국,사기유형,대출사기형,피해액,3361,억원,경찰청_보이스피싱 현황_20251231.csv
2022,,전국,성별,남성,피해자수,14308,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2022,,전국,성별,여성,피해자수,7524,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2022,,전국,연령대,20대이하,피해자수,6805,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2022,,전국,연령대,30대,피해자수,1821,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2022,,전국,연령대,40대,피해자수,3413,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2022,,전국,연령대,50대,피해자수,5378,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2022,,전국,연령대,60대,피해자수,3462,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2022,,전국,연령대,70대이상,피해자수,953,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2023,1,전국,전체,전체,발생건수,1024,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,2,전국,전체,전체,발생건수,1504,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,3,전국,전체,전체,발생건수,1751,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,4,전국,전체,전체,발생건수,1468,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,5,전국,전체,전체,발생건수,1616,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,6,전국,전체,전체,발생건수,1721,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,7,전국,전체,전체,발생건수,1657,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,8,전국,전체,전체,발생건수,1718,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,9,전국,전체,전체,발생건수,1556,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,10,전국,전체,전체,발생건수,1313,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2023,,강원,전체,전체,피해액,141,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,경기남부,전체,전체,피해액,846,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,경기북부,전체,전체,피해액,243,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,경남,전체,전체,피해액,121,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,경북,전체,전체,피해액,134,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,광주,전체,전체,피해액,98,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,대구,전체,전체,피해액,100,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,대전,전체,전체,피해액,129,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,부산,전체,전체,피해액,195,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,서울,전체,전체,피해액,1604,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,세종,전체,전체,피해액,17,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,울산,전체,전체,피해액,58,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,인천,전체,전체,피해액,160,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
